launch_date,delta_v_ms,total_tof_days,dv_node_0_Earth_ms,dv_node_1_Venus_ms,dv_node_2_Earth_ms,dv_node_3_Earth_ms,dv_node_4_Jupiter_ms
2035-12-17 00:00:00.000000,14796.303399022989,2999.0413961310614,4522.35,904.57,4625.06,3198.6,1545.72
2036-01-17 00:00:00.000000,16796.327501172505,2964.651454404566,4165.43,2597.32,5764.06,2742.39,1527.12
2036-02-15 00:00:00.000001,18403.306365110253,2931.416980260297,3829.58,3822.99,6935.83,2307.59,1507.31
2036-04-15 23:59:59.999936,10429.673069362518,2181.688599589808,4324.33,2747.25,1093.21,1036.62,1228.27
2036-05-15 23:59:59.999701,7370.557476825001,2204.8800824933096,4343.14,1889.02,0.0,0.0,1138.4
2036-06-13 17:32:15.585592,5404.8850042988215,2254.25238638755,4302.15,0.0,0.0,0.0,1102.74
2036-06-16 00:00:00.000141,5410.119528827478,2265.998407613291,4310.17,0.0,0.0,0.0,1099.95
2036-07-17 00:00:00.000062,6922.615196153867,2709.298244093901,4670.78,726.46,0.0,0.0,1525.37
2036-08-17 00:00:00.000000,7597.110467810389,3071.742219402106,5074.19,659.95,164.0,0.0,1698.97
2036-10-16 00:00:00.000000,15167.850997399992,2099.39490181416,8260.04,1272.49,1402.15,3144.86,1088.31
2036-11-16 00:00:00.000000,11147.4961005373,2172.2176160180184,7330.04,0.0,1121.66,1646.38,1049.42
2036-12-16 00:00:00.000000,10025.380269622572,2076.5860324801947,6629.1,817.65,0.0,1515.44,1063.2
2037-01-06 20:55:48.180536,8713.441812931844,2103.2708165359227,6279.7,0.0,0.0,1383.77,1049.97
2037-02-16 00:00:00.000000,7991.538501199824,2091.269110798082,5722.86,0.0,0.0,1219.17,1049.51
2037-03-16 00:00:00.000000,7700.548480084215,2060.8788100306974,5469.46,0.0,0.0,1181.77,1049.32
2037-03-23 18:58:20.117484,7637.062932014449,2051.4131060020873,5417.84,0.0,0.0,1169.99,1049.23
2037-04-16 00:00:00.000000,10701.52922631248,2029.6963735239408,5304.65,3214.95,0.0,1132.65,1049.28
2037-05-17 00:00:00.000001,15467.357094135796,1984.6527281304266,6326.76,6855.77,0.0,1235.7,1049.14
2037-07-16 00:00:00.000000,5565.323906009315,2308.2951446175807,4487.16,0.0,0.0,0.0,1078.17
2037-08-14 12:20:26.357879,5271.48652296748,2336.5855293850555,4168.81,0.0,0.0,7.91,1094.76
